,OPER_CAP,SUMMER_CAP,WINTER_CAP,PLAN_CAP,RETIRE_CAP,GEN_UNITS,PLAN_UNIT,RETIR_UNIT,PRIM_FUEL,SEC_FUEL,COAL_USED,NGAS_USED,OIL_USED,CAP_FACTOR,LINES,NET_GEN
1692,7.4,7.4,7.4,0.0,0.0,1,0,0,NG,NOT AVAILABLE,0,370100,0,0.152553838,1,9889.15
1693,0.0,0.0,0.0,0.0,2.5,0,0,1,OG,NG,0,0,0,0.0,0,0.0
1694,2.8,2.8,2.8,0.0,1.8,2,0,3,OBG,NG,0,267,0,0.060828441,0,1492.0
1695,21.3,12.3,17.5,0.0,4.0,5,0,1,NG,BIT,40719,1162683,387,0.028260385,1,3045.0
1696,13.3,12.7,12.7,0.0,16.0,8,0,8,DFO,NG,0,307487,706,0.304839464,1,33914.0
1697,470.1,373.0,424.0,0.0,0.0,5,0,0,NG,DFO,0,7429546,379,0.27172408,1,887852.997
1698,6.7,6.3,6.3,0.0,0.0,3,0,0,NG,RFO,0,726760,0,0.32157353,0,17747.0
1699,0.0,0.0,0.0,0.0,330.0,0,0,3,NG,DFO,0,0,0,0.0,1,0.0
1700,91.4,77.3,84.0,0.0,0.0,10,0,0,NG,DFO,6102,2115072,4,0.255514304,1,173021.0
1701,46.8,31.0,35.0,0.0,0.0,1,0,0,NG,NOT AVAILABLE,0,2067418,0,0.725979526,1,197147.0
1702,94.7,84.6,86.0,0.0,0.0,1,0,0,WC,BIT,15013,0,2745,0.007951736,1,5893.0
1703,1.8,1.8,1.8,0.0,1.5,2,0,3,DFO,NOT AVAILABLE,0,0,0,0.0,1,0.0
1704,6.7,6.8,6.8,0.0,0.0,1,0,0,WAT,NOT AVAILABLE,0,0,0,0.514235831,0,30632.0
1705,3.0,3.0,3.0,0.0,0.0,2,0,0,AB,NG,0,31525,0,0.0,0,0.0
1706,21.5,20.0,20.0,0.0,0.0,1,0,0,WDS,NOT AVAILABLE,0,0,0,0.9219121,0,161519.0
1707,13.0,13.0,13.0,0.0,0.0,2,0,0,WAT,NOT AVAILABLE,0,0,0,0.366657885,1,41755.0
1708,464.5,384.0,410.0,0.0,250.0,6,0,2,NG,OG,0,9653859,0,0.584816162,0,1967228.0
1709,0.0,0.0,0.0,0.0,139.8,0,0,2,BIT,NOT AVAILABLE,0,0,0,0.0,1,0.0
1710,59.0,55.0,55.0,0.0,0.0,2,0,0,MSW,WO,0,0,6824,0.57645704,1,277737.002
1711,7.4,7.0,7.4,0.0,0.0,2,0,0,NG,DFO,0,297,0,0.000277234,0,17.0
1712,10.4,10.4,10.4,0.0,0.0,4,0,0,NG,RFO,0,947798,7415,0.256761503,0,23392.0
1713,97.4,81.7,89.5,0.0,0.0,3,0,0,NG,DFO,0,442040,274,0.066061937,1,47280.0
1714,51.0,43.0,43.0,0.0,0.0,12,0,0,GEO,NOT AVAILABLE,0,0,0,0.025592014,1,9640.0
1715,12.2,12.2,10.0,0.0,0.0,2,0,0,WAT,NOT AVAILABLE,0,0,0,0.410172917,0,43836.0
1716,1.2,1.2,1.2,0.0,0.0,2,0,0,WAT,NOT AVAILABLE,0,0,0,0.689402588,0,7247.0
1717,0.0,0.0,0.0,0.0,3.2,0,0,4,LFG,NOT AVAILABLE,0,0,0,0.0,0,0.0
1718,6.8,6.4,6.2,0.0,0.0,2,0,0,WAT,NOT AVAILABLE,0,0,0,0.016552511,1,928.0
1719,55.0,50.0,57.0,0.0,0.0,2,0,0,NG,DFO,0,1915604,526,0.373939429,0,163785.47
1720,3.5,1.0,0.6,0.0,0.0,5,0,0,WAT,NOT AVAILABLE,0,0,0,0.86152968,1,7547.0
1721,11.8,10.0,10.0,11.5,0.0,3,2,0,NG,DFO,0,604219,4,0.555079909,0,48625.0
1722,18.0,16.8,16.8,0.0,6.0,3,0,1,NG,DFO,0,2831441,0,0.220346815,0,32428.0
1723,388.8,348.0,365.0,0.0,0.0,3,0,0,NG,DFO,0,995146,3140,0.02820258,1,85975.0
1724,5.9,5.9,5.9,0.0,1.8,6,0,2,DFO,NG,0,0,33,0.000386967,0,20.0
1725,0.0,0.0,0.0,0.0,90.0,0,0,2,WDS,NOT AVAILABLE,0,0,0,0.0,1,0.0
1726,83.8,88.6,88.6,0.0,10.0,5,0,2,OG,NG,0,2480095,0,0.564827552,1,438382.997
